Grade,Subject,Question,OptionA,OptionB,OptionC,OptionD,Answer
5,Science,Which gas do humans need? ,Oxygen,Water,Fire,Earth,A
5,Science,Which planet is known as Red Planet? ,Mars,Earth,Venus,Jupiter,A
5,Science,Which is hot and bright? ,Sun,Moon,Earth,Mars,A
5,Science,Which is liquid at room temp? ,Water,Ice,Fire,Air,A
5,English,Choose the correct word: 'I ___ happy.',am,is,are,be,A
5,English,Choose the correct word: 'She ___ playing.',is,are,am,be,B
5,English,Choose the correct word: 'They ___ running.',are,is,am,be,A
5,English,Choose the correct word: 'He ___ a book.',reads,read,reading,red,A
5,GK,What is the capital of Canada?,Ottawa,Toronto,Vancouver,Montreal,A
5,GK,Which country is north of USA?,Canada,Mexico,Brazil,France,A
5,GK,Which is the largest continent?,Asia,Europe,Africa,Australia,A
5,GK,Which ocean is the largest?,Pacific,Atlantic,Indian,Arctic,A
6,Math,What is 12 + 3?,15,14,16,17,A
6,Math,What is 11 + 4?,15,14,16,17,A
6,Math,What is 10 + 5?,15,14,16,17,A
6,Math,What is 9 + 6?,15,14,16,17,A
6,Science,Which is essential for life? ,Water,Air,Fire,Earth,A
6,Science,Which is a star? ,Sun,Earth,Moon,Mars,A
6,Science,Which planet do we live on? ,Earth,Mars,Venus,Jupiter,A
6,Science,Which is liquid at room temp? ,Water,Ice,Fire,Air,A
6,English,Choose the correct word: 'I ___ to school.',go,goes,gone,going,B
6,English,Choose the correct word: 'She ___ happy.',is,are,am,be,A
6,English,Choose the correct word: 'They ___ playing.',are,is,am,be,A
6,English,Choose the correct word: 'He ___ a pen.',has,have,had,having,A
6,GK,What is the capital of Canada?,Ottawa,Toronto,Vancouver,Montreal,A
6,GK,Which continent has the most people?,Asia,Europe,Africa,Australia,A
6,GK,Which animal is a mammal?,Dog,Crocodile,Shark,Eagle,A
6,GK,Which is a flying bird?,Eagle,Dog,Cat,Fish,A
